CrashId,Town Name,Date Of Crash,Time of Crash,Route Class
1297539,Waterford,2004-08-07,3:01:00,USRoute
1297540,Haddam,2004-08-07,15:49:00,State
1297541,Stamford,2004-08-13,1:45:00,State
1297542,Waterbury,2004-04-25,9:01:00,State
1297543,Plymouth,2004-08-14,11:44:00,Local
1297544,Norwich,2004-08-16,15:50:00,State
1297545,Bethel,2004-07-15,22:27:00,State
1297546,Old Lyme,2004-06-09,12:58:00,Interstate
1297547,New Milford,2004-06-16,10:56:00,USRoute
1297548,Putnam,2004-08-01,12:48:00,Local
1297549,East Hartford,2004-08-17,21:00:00,Interstate
1297550,East Windsor,2004-08-19,22:48:00,State
1297551,Waterbury,2004-08-21,2:30:00,State
1297552,New Canaan,2004-08-21,3:51:00,State
1297553,Ellington,2004-07-09,20:59:00,Local
1297554,New Haven,2004-08-23,22:21:00,State
1297555,Ellington,2004-08-24,23:34:00,Local
1297556,Norwich,2004-08-25,19:44:00,Interstate
1297557,Montville,2004-08-26,10:50:00,Local
1297558,Norwich,2004-08-26,20:17:00,Local
1297559,Farmington,2004-08-27,17:16:00,Local
1297560,Haddam,2004-08-30,16:35:00,State
1297561,Fairfield,2004-09-01,22:55:00,State
1297562,Norwalk,2004-09-06,4:27:00,State
1297563,Glastonbury,2004-09-11,17:14:00,State
1297564,Killingly,2004-09-12,18:41:00,State
1297565,Ellington,2004-09-12,22:08:00,State
1297566,Danbury,2004-09-14,4:25:00,Interstate
1297567,Westport,2004-09-14,11:04:00,Local
1297568,Cromwell,2004-09-20,1:03:00,State
1297569,Greenwich,2004-09-21,19:17:00,State
1297570,Hartford,2004-09-21,22:04:00,Local
1297571,Warren,2004-09-22,15:28:00,State
1297572,Waterbury,2004-09-23,19:19:00,State
1297573,Barkhamsted,2004-04-10,16:09:00,USRoute
1297574,Lisbon,2004-08-17,20:08:00,Local
1297575,Bridgeport,2004-09-20,11:08:00,Local
1297576,Granby,2004-09-25,0:34:00,Local
1297577,Southington,2004-09-12,17:08:00,Local
1297578,Wallingford,2004-08-18,10:54:00,Local
1297579,Bozrah,2004-08-24,11:30:00,State
1297580,Stonington,2004-08-28,3:38:00,Interstate
1297581,New Haven,2004-09-26,18:46:00,Interstate
1297582,Burlington,2004-09-20,12:37:00,State
1297583,Canterbury,2004-06-28,10:59:00,State
1297584,Windham,2004-09-18,1:34:00,State
1297585,Voluntown,2004-09-26,19:37:00,State
1297586,New Haven,2004-07-17,3:20:00,Local
1297587,Killingworth,2004-09-24,14:57:00,State
1297588,Newtown,2004-09-29,16:12:00,Interstate
1297589,Shelton,2004-10-01,21:17:00,State
1297590,Winchester,2004-10-02,14:00:00,State
1297591,Rocky Hill,2004-10-04,16:20:00,State
1297592,Lisbon,2004-10-04,22:11:00,State
1297593,New Hartford,2004-10-06,7:49:00,USRoute
1297594,Chaplin,2004-10-07,13:22:00,USRoute
1297595,Middletown,2004-10-07,17:55:00,State
1297596,Chaplin,2004-10-07,22:42:00,State
1297597,Naugatuck,2004-10-07,12:29:00,State
1297598,Brookfield,2004-10-11,15:01:00,Local
1297599,Old Lyme,2004-10-12,18:26:00,Interstate
1297600,Mansfield,2004-10-12,16:17:00,State
1297601,Preston,2004-10-15,1:23:00,State
1297602,Mansfield,2004-10-15,0:28:00,State
1297603,Hartford,2004-10-17,17:46:00,Local
1297604,Oxford,2004-10-18,7:23:00,State
1297605,Lisbon,2004-10-19,2:09:00,State
1297606,Orange,2004-10-19,20:59:00,Interstate
1297607,Danbury,2004-10-19,19:30:00,Local
1297608,New Britain,2004-10-23,0:41:00,Interstate
1297609,Ledyard,2004-10-26,15:22:00,Local
1297610,West Haven,2004-10-28,0:24:00,Interstate
1297611,Burlington,2004-10-28,21:46:00,State
1297612,Winchester,2004-10-18,8:28:00,USRoute
1297613,Windsor,2004-10-31,1:50:00,Interstate
1297614,Wallingford,2004-10-11,10:39:00,State
1297615,Hartford,2004-11-02,22:00:00,Local
1297616,Wallingford,2004-11-06,2:10:00,Local
1297617,Hartford,2004-11-06,2:25:00,Local
1297618,Ridgefield,2004-10-05,17:00:00,Local
1297619,Stamford,2004-11-12,22:30:00,Local
1297620,Derby,2004-10-27,21:04:00,State
1297621,Naugatuck,2004-11-05,14:16:00,Local
1297622,New Haven,2004-11-06,1:13:00,Local
1297623,New Milford,2004-11-07,0:18:00,USRoute
1297624,North Canaan,2004-05-15,0:47:00,USRoute
1297625,Stafford,2004-05-23,15:28:00,State
1297626,Hartford,2004-07-19,22:11:00,Local
1297627,Bridgeport,2004-11-07,14:07:00,State
1297628,Roxbury,2004-11-07,14:01:00,State
1297629,Lebanon,2004-11-08,6:07:00,State
1297630,Derby,2004-11-09,18:05:00,State
1297631,Middletown,2004-11-10,1:14:00,Interstate
1297632,West Hartford,2004-11-10,16:37:00,Local
1297633,Norwalk,2004-11-12,17:21:00,State
1297634,Thompson,2004-11-13,1:23:00,Local
1297635,Ashford,2004-11-14,2:29:00,USRoute
1297636,Lebanon,2004-11-15,21:48:00,State
1297637,New Canaan,2004-11-17,13:25:00,Local
1297638,East Haddam,2004-11-17,15:33:00,State
1297639,Ledyard,2004-11-18,0:53:00,State
1297640,Ledyard,2004-11-20,1:32:00,State
1297641,Darien,2004-11-21,11:41:00,Interstate
1297642,Stamford,2004-11-22,23:57:00,State
1297643,Woodbridge,2004-11-24,14:01:00,State
1297644,Stratford,2004-11-24,21:29:00,Interstate
1297645,Shelton,2004-11-24,22:33:00,Local
1297646,East Haddam,2004-11-25,1:24:00,Local
1297647,Bristol,2004-11-27,2:15:00,USRoute
1297648,New Britain,2004-11-27,16:48:00,Local
1297649,East Hartford,2004-11-28,16:54:00,State
1297650,Middletown,2004-12-01,16:36:00,Local
1297651,Hartford,2004-12-05,23:52:00,Local
1297652,Plainville,2004-12-06,14:26:00,State
1297653,Colchester,2004-12-09,20:44:00,State
1297654,Litchfield,2004-12-13,8:37:00,USRoute
1297655,New Canaan,2004-12-14,6:13:00,State
1297656,Meriden,2004-12-16,15:20:00,Local
